,Unnamed: 0,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
12,12,75.294,76.161,74.529,74.756,71076,77.6395,77.6249,72.52,81.605,24.61199779856909,55.49055940218493,77.667,78.80938084717839,76.52461915282161,75.14866666666667,75.76833333333335,76.78066666666669,78.4126666666667,74.13633333333334,73.51666666666667,71.88466666666666
13,13,74.77199999999999,75.92,74.71600000000002,75.905,43584,77.3733333333333,77.407,72.52,81.605,37.259218492019826,34.69088240689783,77.2368,78.43337079815613,76.04022920184387,75.5136666666667,76.31133333333334,76.71766666666667,77.92166666666667,75.10733333333336,74.30966666666669,73.10566666666669
14,14,75.89,76.672,75.445,76.616,39737,77.13333333333334,77.2157,72.52,81.605,45.08530544854155,35.65217391304349,76.8952,78.05516882501212,75.73523117498787,76.24433333333333,77.04366666666667,77.47133333333333,78.69833333333334,75.81666666666666,75.01733333333333,73.79033333333331
15,15,76.623,77.042,75.566,76.88,48817,76.89266666666667,77.2277,72.52,81.605,47.991194276279536,43.44523940561364,76.1022,76.5192962718606,75.68510372813941,76.49600000000001,77.42599999999999,77.972,79.44800000000001,75.94999999999997,75.02,73.544
16,16,76.90100000000001,76.96,76.425,76.884,33996,76.2325,77.2122,72.52,81.605,48.03522289488168,47.03724087323425,76.2082,76.66063347577297,75.75576652422704,76.75633333333333,77.08766666666666,77.29133333333333,77.82633333333331,76.55266666666667,76.22133333333333,75.68633333333334
17,17,76.446,77.407,76.416,77.314,21103,76.3925,77.1934,74.529,77.407,96.76858929812357,64.26500215642825,76.7198,76.97965245813734,76.45994754186269,77.04566666666666,77.67533333333333,78.03666666666666,79.02766666666666,76.68433333333333,76.05466666666666,75.06366666666666
18,18,77.301,77.306,75.671,75.92399999999998,35895,76.58716666666669,76.9802,74.71600000000002,77.407,44.890375325157535,63.231395839387595,76.7236,76.97973707267792,76.46746292732209,76.30033333333334,76.92966666666669,77.93533333333333,79.57033333333331,75.29466666666669,74.66533333333334,73.03033333333336
19,19,75.903,76.283,74.554,76.192,55818,76.635,76.767,74.554,77.407,57.41324921135626,66.35740461154579,76.63880000000002,76.92216866446384,76.35543133553621,75.67633333333333,76.79866666666666,77.40533333333333,79.13433333333333,75.06966666666666,73.94733333333333,72.21833333333333
20,20,76.19800000000001,76.277,75.189,75.376,44063,76.42833333333334,76.22009999999999,74.554,77.407,28.81177707676146,43.705133871091746,76.33800000000002,76.72277655853756,75.95322344146244,75.61399999999999,76.03900000000002,76.70200000000001,77.79000000000002,74.95100000000002,74.52600000000001,73.43799999999997
21,21,75.382,76.16,75.05199999999998,76.09899999999998,42522,76.29816666666669,76.1946,74.554,77.407,54.153522607780936,46.792849631966206,76.18100000000003,76.53496044976808,75.82703955023193,75.77033333333333,76.48866666666666,76.87833333333333,77.98633333333333,75.38066666666666,74.66233333333331,73.55433333333332
22,22,76.127,77.604,75.944,77.426,37335,76.38850000000002,76.4616,74.554,77.604,94.16393442622959,59.04307803692399,76.20340000000002,76.57993313267231,75.82686686732772,76.99133333333333,78.03866666666666,78.65133333333333,80.31133333333331,76.37866666666666,75.33133333333333,73.67133333333334
23,23,77.452,80.35,77.222,79.80199999999998,50922,76.8031666666667,76.85130000000002,74.554,80.35,90.54520358868182,79.62088687423079,76.97900000000001,77.84979403420098,76.10820596579904,79.12466666666667,81.02733333333335,82.25266666666667,85.38066666666667,77.89933333333335,75.99666666666667,72.86866666666667
